법정동코드2,시군구명,동리명,빌딩연차,관리건축물대장PK,기타용도,구조코드명,대지면적(㎡),건축면적(㎡),연면적(㎡),주용도코드명,높이(m),지상층수,지하층수,세대수(세대),가구수(가구),공동주택,공장,단독주택,문화및집회시설,숙박시설,업무시설,위험물저장및처리시설,제1종근린생활시설,제2종근린생활시설,창고시설,면적대비 생활인구 밀도,2018연간가스사용량,2018연간전기사용량,0-5 시간대 생활인구,6-11 시간대 생활인구,12-17 시간대 생활인구,18-23 시간대 생활인구,시간대별 생활인구 총합계,전체세대수,인구,인구밀도,전체평균연령,65세이상인구수,65세이상인구비율,휴게음식점,일반음식점,제과점,단란주점,유흥주점,사업체수,건물수,fire_YN
1174010500,강동구,길동,36,11740-19510,"숙박시설,위락시설,제1종근린생활시설",철근콘크리트구조,383.4,171.76,655.0,숙박시설,0.0,3,1,0,1,673.0,0.0,821.0,0.0,33.0,29.0,1.0,179.0,192.0,5.0,8294930.88,94823377.0,98683010.0,118000000.0,105000000.0,98800000.0,111000000.0,432000000.0,20314.0,47171.0,21738.0,43.2,6768.0,0.143477984,100.0,566.0,16.0,24.0,117.0,4054.0,1999.0,0
1150011000,강서구,개화동,3,11500-100255152,다가구주택 및 소매점,철근콘크리트구조,265.62,111.0,293.01,단독주택,7.8,2,1,0,3,487.5,2.0,1129.0,0.0,2.0,14.5,12.5,202.5,168.0,13.0,1755070.2,76944590.0,130367936.0,58900000.0,68100000.0,75700000.0,67400000.0,270000000.0,11595.0,24391.0,3805.0,44.7,4353.0,0.17846746800000002,112.0,326.0,15.0,5.0,3.0,3318.0,2059.0,0
1117012500,용산구,한강로2가,56,11170-4563,주택,일반목구조,0.0,0.0,99.17,단독주택,0.0,1,0,0,1,17.0,3.4,208.4,0.6,1.2,10.4,1.0,60.2,76.6,7.0,5617816.09,151805519.0,158136998.0,59600000.0,102000000.0,135000000.0,93600000.0,391000000.0,9593.0,19209.0,6624.0,44.5,2916.0,0.151803842,185.0,587.0,16.0,21.0,2.0,4972.0,384.8,0
1111017400,종로구,창신동,25,11110-8852,"근린생활시설, 다가구주택",철근콘크리트구조,132.47,79.43,266.26,단독주택,10.4,3,1,3,0,302.0,12.0,1701.0,3.0,18.0,10.0,0.0,401.0,404.0,14.0,15165485.910000002,56781708.0,51403670.0,25333333.333333332,24166666.666666668,24766666.666666668,24500000.0,98733333.33333333,3341.3333333333335,7897.0,30327.0,46.699999999999996,1330.0,0.1697415276666667,20.666666666666668,145.0,3.6666666666666665,2.0,4.666666666666667,1145.6666666666667,2420.0,0
1111018300,종로구,평창동,33,11110-13947,"교회, 대피소,단독주택",벽돌구조,893.0,323.66,685.11,종교시설,0.0,2,1,0,0,224.0,1.0,810.5,31.5,1.0,3.5,2.0,57.0,57.0,1.0,831454.34,23054313.0,24445111.0,48100000.0,45800000.0,40500000.0,42400000.0,177000000.0,7552.0,19105.0,2154.0,43.8,3173.0,0.166082177,55.0,148.0,5.0,5.0,2.0,739.0,1134.5,0
1156011800,영등포구,도림동,24,11560-11888,다가구용 단독 주택(4가구),벽돌구조,66.0,41.61,150.81,단독주택,8.9,3,1,0,4,164.0,14.0,1518.0,0.0,0.0,15.0,0.0,162.0,108.0,3.0,7209737.83,36116697.0,25831526.0,42500000.0,36500000.0,34600000.0,40200000.0,154000000.0,9296.0,22178.0,24919.0,43.9,3104.0,0.139958517,40.0,153.0,5.0,5.0,0.0,1052.0,1729.0,0
1141011900,서대문구,북가좌동,22,11410-25221,근린생활시설및창고시설,경량철골구조,758.2,140.32,266.0,제2종근린생활시설,7.4,2,0,0,1,1164.0,1.0,1528.0,1.0,4.0,5.0,2.0,154.0,144.0,1.0,12742292.43,20746188.0,35712952.0,58800000.0,51850000.0,47150000.0,55650000.0,213500000.0,10880.5,26774.0,38947.5,42.85,4298.5,0.1570219565,44.0,144.5,6.5,4.0,0.0,1523.0,3007.0,0
1123010500,동대문구,답십리동,29,11230-17534,주택,벽돌구조,148.5,74.01,288.62,단독주택,9.1,3,1,0,4,321.0,11.0,1912.0,2.0,11.0,22.0,2.0,512.0,210.0,13.0,10050835.15,135806975.0,102629517.0,55300000.0,49650000.0,45100000.0,49650000.0,200000000.0,12521.0,29231.0,35246.0,42.35,4398.0,0.150671544,41.0,184.5,6.5,7.5,5.5,2073.5,3053.0,0
1130510100,강북구,미아동,51,11305-3690,단독주택,벽돌구조,0.0,44.63,44.63,단독주택,0.0,1,0,0,1,2185.0,8.0,8268.0,3.0,34.0,22.0,6.0,1010.0,456.0,4.0,11349214.918,276892144.0,229615858.0,62000000.0,56980000.0,53760000.0,59920000.0,232800000.0,12314.2,28479.0,34325.6,44.279999999999994,4756.2,0.16881939340000002,58.6,301.6,7.6,6.6,4.0,1539.8,12129.0,0
1111016800,종로구,동숭동,15,11110-1663,교육연구시설,철근콘크리트구조,0.0,730.305,2790.49,교육연구시설,0.0,3,1,0,0,83.0,0.0,248.3333333,5.0,0.0,5.333333333,0.0,39.66666667,73.33333333,0.666666667,11538461.54,138402515.0,162094190.0,38800000.0,55700000.0,70200000.0,51700000.0,216000000.0,4487.0,8621.0,11053.0,43.4,1339.0,0.155318409,96.0,393.0,8.0,0.0,0.0,1289.0,403.33333333333326,0
1138011400,은평구,진관동,2,11380-100267805,단독주택,철근콘크리트구조,330.0,137.78,197.44,단독주택,8.75,2,0,1,0,846.0,1.0,250.0,12.0,0.0,17.0,6.0,49.0,100.0,2.0,1752674.18,38693564.0,133028519.0,124000000.0,123000000.0,116000000.0,122000000.0,485000000.0,20677.0,56487.0,4899.0,39.9,7195.0,0.12737444,139.0,263.0,25.0,0.0,0.0,1648.0,1308.0,0
1141011700,서대문구,연희동,45,11410-15365,주택,벽돌구조,0.0,0.0,161.55,단독주택,0.0,2,1,0,1,760.0,1.0,2600.0,4.0,2.0,36.0,3.0,361.0,284.0,3.0,4644808.74,64346997.0,53089965.0,92400000.0,88500000.0,77800000.0,81500000.0,340000000.0,19017.0,40452.0,13263.0,42.8,6103.0,0.150870167,121.0,420.0,19.0,5.0,1.0,2318.0,4081.0,0
1168010600,강남구,대치동,18,11680-2452,공동주택,철근콘크리트구조,0.0,59.4,59.4,공동주택,0.0,1,0,0,0,840.666666675,0.0,556.916666675,3.41666666675,6.83333333325,185.5833333325,6.0,169.083333325,426.75,1.0,10346203.075,335146342.0,468917454.5,58725000.0,68850000.0,78250000.0,67700000.0,273750000.0,9471.0,25902.75,23301.75,39.825,2782.5,0.112638664,126.0,337.5,15.75,5.75,1.5,2360.75,2334.75,0
1138010400,은평구,갈현동,17,11380-16985,"공동주택,다세대주택",철근콘크리트구조,245.9,137.75,656.58,공동주택,12.85,4,1,9,0,1412.0,6.0,2383.0,2.0,4.0,11.0,1.0,308.0,329.0,7.0,9651748.64,43262831.0,60153711.0,59900000.0,54700000.0,50600000.0,58550000.0,223500000.0,11899.0,27941.5,28970.5,43.45,4349.5,0.15644237249999998,71.5,348.5,11.0,12.0,5.0,1526.5,4580.0,0
1129010300,성북구,돈암동,57,11290-5246,주택,일반목구조,0.0,0.0,24.36,단독주택,0.0,1,0,0,1,324.366666666,3.0583333334,799.90555556,2.9416666666,0.7861111112,2.4555555556,0.8,76.230555556,74.58055555600001,3.9444444443999997,11113501.072,200190643.6,102133550.0,50920000.0,46980000.0,44680000.0,48860000.0,191800000.0,9255.6,21860.2,31726.8,42.18,3196.4,0.14637024640000001,52.4,217.0,6.8,5.0,0.8,1122.0,1233.4583333333335,0
1120011200,성동구,금호동4가,60,11200-14997,주택,일반목구조,0.0,0.0,38.18,단독주택,0.0,1,0,0,1,174.0,0.0,414.0,1.0,0.0,4.0,1.0,94.0,56.0,2.0,5009920.63,46629266.0,25663290.0,24300000.0,24300000.0,25400000.0,26800000.0,101000000.0,6518.0,15488.0,18438.0,41.7,2132.0,0.137654959,22.0,99.0,4.0,1.0,0.0,635.0,756.0,0
1144010400,마포구,도화동,58,11440-9416,근린생활시설,벽돌구조,0.0,39.67,39.67,제1종근린생활시설,0.0,1,0,0,0,138.58333333333334,3.472222222333333,465.19444443333333,0.25,0.9166666666666666,16.86111111,0.27777777766666667,97.22222222333333,73.25,3.3055555556666665,13718632.38,180335922.0,169299067.66666666,61766666.666666664,60400000.0,58566666.666666664,60533333.333333336,241666666.66666666,12524.0,28666.0,39035.0,41.96666666666666,4008.6666666666665,0.13910806166666667,83.66666666666667,401.3333333333333,10.666666666666666,6.0,11.0,2459.3333333333335,671.75,0
1141011800,서대문구,홍은동,44,11410-20054,주택,벽돌구조,0.0,0.0,82.94,단독주택,0.0,1,1,0,1,998.0,1.0,2508.0,1.0,3.0,7.0,6.0,372.0,173.0,1.0,4186125.11,82003310.0,59921126.0,49850000.0,46800000.0,43200000.0,46200000.0,186000000.0,10920.5,26567.5,14676.5,44.45,4510.0,0.1706356795,46.5,184.5,6.0,3.0,0.5,1070.0,4028.0,0
1147010300,양천구,신월동,10,11470-100181824,다세대주택,철근콘크리트구조,163.1,97.49,322.47,공동주택,15.5,5,0,4,0,2635.0,0.0,3210.0,4.0,7.0,37.0,11.0,692.0,427.0,6.0,8472303.11,111810133.0,118750455.0,36442857.14285714,33814285.71428572,31971428.57142857,34814285.71428572,137085714.2857143,7442.571428571428,18096.285714285714,26724.285714285714,43.48571428571429,2825.714285714286,0.15522256828571426,26.142857142857142,140.42857142857142,2.857142857142857,2.2857142857142856,0.0,1284.142857142857,7134.0,0
1144012500,마포구,성산동,28,11440-31722,"제1.2종근린생활시설, 주택",철근콘크리트구조,0.0,149.16,875.08,제2종근린생활시설,0.0,5,1,0,1,710.75,7.0,871.75,1.5,2.25,40.25,3.0,101.5,203.5,7.5,8170918.88,83125386.5,99089604.5,66200000.0,64750000.0,62200000.0,64350000.0,257500000.0,13979.5,31093.0,22860.0,41.45,4259.0,0.13681138199999998,82.0,203.5,11.0,0.5,0.0,1617.5,2000.0,0
1117011900,용산구,효창동,25,11170-21126,다가구용단독주택(6가구),벽돌구조,126.6,71.28,226.38,단독주택,9.1,3,1,0,6,209.0,0.0,498.0,2.0,0.0,4.0,0.0,52.0,55.0,5.0,10132575.76,11813027.0,8713104.0,25500000.0,26800000.0,27200000.0,27300000.0,107000000.0,3750.0,9054.0,20577.0,41.8,1295.0,0.143030705,14.0,42.0,2.0,0.0,0.0,462.0,806.0,0
1159010100,동작구,노량진동,28,11590-2387,다세대주택,철근콘크리트구조,0.0,90.76,410.23,공동주택,0.0,4,1,8,0,228.0,4.75,2077.0,0.75,3.0,18.25,0.75,275.25,229.5,7.75,11126631.725,121033477.0,125739871.0,69500000.0,72800000.0,73250000.0,73450000.0,289000000.0,11058.0,23554.5,21558.0,44.650000000000006,3884.5,0.167960913,96.0,301.5,9.0,2.5,5.5,1891.0,2473.0,0
